concept,congruence_cond,semantic_distance_cond,semantic_distance,set_number,L,a,b,rgb_r,rgb_g,rgb_b,hex,uw_71,pair_index
apple,TRUE,HIGH,0.964641888,1,50,72.28,53.857,0.91683,0.11258,0.11559,#ea1d1d,62,0
peach,TRUE,HIGH,0.964641888,1,75,23.657,26.274,0.94491,0.65619,0.53969,#f1a78a,47,1
field,TRUE,HIGH,0.99540685,2,25,-26.274,23.657,0.093053,0.26787,0.081612,#184415,37,0
beach,TRUE,HIGH,0.99540685,2,50,28.891,-73.589,0.18536,0.43139,0.96497,#2f6ef6,0,1
celery,TRUE,HIGH,0.997355883,3,50,-52.548,47.315,0.054615,0.54224,0.099689,#0e8a19,50,0
banana,TRUE,HIGH,0.997355883,3,88,-3.9252,74.897,0.98973,0.86065,0.25739,#fcdb42,69,1
peace,TRUE,HIGH,0.998317542,4,75,24.966,1.3084,0.90215,0.65899,0.71809,#e6a8b7,32,0
evil,TRUE,HIGH,0.998317542,4,0,0,0,0,0,0,#000000,24,1
love,TRUE,HIGH,0.914328166,5,50,74.897,3.9252,0.89143,0.10584,0.45276,#e31b73,34,0
justice,TRUE,HIGH,0.914328166,5,50,0,0,0.46633,0.46633,0.46633,#777777,26,1
cherry,TRUE,HIGH,0.999543317,6,50,72.28,53.857,0.91683,0.11258,0.11559,#ea1d1d,62,0
grape,TRUE,HIGH,0.999543317,6,25,26.274,-23.657,0.31571,0.17533,0.37401,#512d5f,14,1
frog,TRUE,HIGH,0.995108124,7,50,-52.548,47.315,0.054615,0.54224,0.099689,#0e8a19,50,0
lion,TRUE,HIGH,0.995108124,7,75,21.041,76.206,0.9829,0.65643,0.078187,#fba714,70,0
bear,TRUE,HIGH,0.911908587,8,0,0,0,0,0,0,#000000,24,1
fish,TRUE,HIGH,0.911908587,8,50,2.6168,-49.931,0.02815,0.47995,0.80007,#077acc,4,0
eating,TRUE,HIGH,0.947898173,9,88,-3.9252,74.897,0.98973,0.86065,0.25739,#fcdb42,69,1
sleeping,TRUE,HIGH,0.947898173,9,0,0,0,0,0,0,#000000,24,0
wildfire,TRUE,HIGH,0.98928854,10,50,72.28,53.857,0.91683,0.11258,0.11559,#ea1d1d,62,1
sandstorm,TRUE,HIGH,0.98928854,10,50,-1.3084,24.966,0.51566,0.46391,0.29927,#83764c,42,0
carrot,TRUE,HIGH,0.995787553,11,50,47.315,52.548,0.79852,0.30871,0.10571,#cc4f1b,61,1
corn,TRUE,HIGH,0.995787553,11,88,-3.9252,74.897,0.98973,0.86065,0.25739,#fcdb42,69,0
mushroom,TRUE,HIGH,0.999022318,12,50,-1.3084,24.966,0.51566,0.46391,0.29927,#83764c,42,1
eggplant,TRUE,HIGH,0.999022318,12,25,52.548,-47.315,0.37742,0.042633,0.5195,#600b84,7,0
blizzard,TRUE,HIGH,0.984987372,13,75,-23.657,-26.274,0.30294,0.78057,0.90983,#4dc7e8,10,1
drought,TRUE,HIGH,0.984987372,13,50,-1.3084,24.966,0.51566,0.46391,0.29927,#83764c,42,0
glacial ice,TRUE,HIGH,0.91910082,14,100,0,0,1,1,1,#ffffff,28,1
ocean water,TRUE,HIGH,0.91910082,14,25,27.583,-48.623,0.17927,0.18835,0.5261,#2e3086,5,0
sunset,TRUE,HIGH,0.975780831,15,50,48.623,27.583,0.78826,0.307,0.2939,#c94e4b,48,1
sky,TRUE,HIGH,0.975780831,15,50,28.891,-73.589,0.18536,0.43139,0.96497,#2f6ef6,0,0
